river,descr
ALLZN,all zones
IRNGT,Irongate
KARAM,Karamu (incl tributaries)
KRM.G,Karamu gain only
KRWRW,Karewarewa
MNGTR,Mangateretere
NGRRR,Ngaruroro Fernhill (incl tributaries)
NGRRR.M,Mgaruroro major loss
NGRRR.V,Ngaruroro variable loss
RAUPR,Raupare
TTK.W,Tutaekuri-Waimate
TUKTK,Tukituki
TUTKR,Tutaekuri
